LLM File,Program,KQuery File,Similarity (%)
result.txt,91,test000427.kquery,0.37
result.txt,91,test000428.kquery,0.35
result.txt,91,test000429.kquery,0.37
result.txt,91,test000430.kquery,0.37
result.txt,91,test000431.kquery,0.37
result.txt,91,test000432.kquery,0.37
result.txt,91,test000433.kquery,0.37
result.txt,91,test000434.kquery,0.37
result.txt,91,test000435.kquery,0.37
result.txt,91,test000436.kquery,0.37
result.txt,91,test000437.kquery,0.35
result.txt,91,test000438.kquery,0.37
result.txt,91,test000439.kquery,0.37
result.txt,91,test000440.kquery,0.37
result.txt,91,test000441.kquery,0.37
result.txt,91,test000442.kquery,0.37
result.txt,91,test000443.kquery,0.37
result.txt,91,test000444.kquery,0.36
result.txt,91,test000445.kquery,0.37
result.txt,91,test000446.kquery,0.37
result.txt,91,test000447.kquery,0.37
result.txt,91,test000448.kquery,0.35
result.txt,91,test000449.kquery,0.37
result.txt,91,test000450.kquery,0.37
result.txt,91,test000451.kquery,0.37
result.txt,91,test000452.kquery,0.36
result.txt,91,test000453.kquery,0.37
result.txt,91,test000454.kquery,0.37
result.txt,91,test000455.kquery,0.37
result.txt,91,test000456.kquery,0.36
result.txt,91,test000457.kquery,0.37
result.txt,91,test000458.kquery,0.37
result.txt,91,test000459.kquery,0.35
result.txt,91,test000460.kquery,0.37
result.txt,91,test000461.kquery,0.37
result.txt,91,test000462.kquery,0.37
result.txt,91,test000463.kquery,0.36
result.txt,91,test000464.kquery,0.37
result.txt,91,test000465.kquery,0.37
result.txt,91,test000466.kquery,0.37
result.txt,91,test000467.kquery,0.37
result.txt,91,test000468.kquery,0.36
result.txt,91,test000469.kquery,0.37
result.txt,91,test000470.kquery,0.35
result.txt,91,test000471.kquery,0.36
result.txt,91,test000472.kquery,0.37
result.txt,91,test000473.kquery,0.37
result.txt,91,test000474.kquery,0.37
result.txt,91,test000475.kquery,0.36
result.txt,91,test000476.kquery,0.37
result.txt,91,test000477.kquery,0.37
result.txt,91,test000478.kquery,0.37
result.txt,91,test000479.kquery,0.37
result.txt,91,test000480.kquery,0.35
result.txt,91,test000481.kquery,0.37
result.txt,91,test000482.kquery,0.36
result.txt,91,test000483.kquery,0.37
result.txt,91,test000484.kquery,0.36
result.txt,91,test000485.kquery,0.37
result.txt,91,test000486.kquery,0.37
